Collection,Title,IA Creator,IA Publisher,Date,URL,IA ID,IA Subject,Zones,Illustration Level,Illustration Note,General Note,Gov Doc,Fiction / Poetry / Lit Crit,Diary / Memoir
,3434 U.S. Government films,"Reid, Seerley","Washington, Federal Security Agency, Office of Education",1954,http://www.archive.org/details/usgovernmentfilm00reidrich/mode/thumb?view=theater,usgovernmentfilm00reidrich,"Motion pictures, Filmstrips, Visual education","10.0,7.2",,,,,,
,"5,000,000 casualties on the home front","Neuschutz, Louise Morgenstern",New York : Beechhurst Press,c1947,http://www.archive.org/details/casualtiesonhome00neusrich/mode/thumb?view=theater,casualtiesonhome00neusrich,Accidents -- Prevention,"5.2,11.0",Medium,Illustrations,A deeply confusing home safety book that frames home safety as something that is especially important given how many died or were maimed in WW2.,,,
,"A B C of television; or, Seeing by radio; a complete and comprehensive treatise dealing with the theory, construction and operation of telephotographic and television transmitters and receivers; written especially for home experimenters, radio fans and students..","Yates, Raymond F. (Raymond Francis), 1895-","New York, The Norman W, Henley publishing co.",1929,http://www.archive.org/details/bcoftelevisionor00yaterich/mode/thumb?view=theater,bcoftelevisionor00yaterich,Television,7.4,Medium,"Photos, illustrations",Amateur television mechanical guide for radio enthusiasts from the 1920s,,,
,A bibliography of national parks and monuments west of the Mississippi River,United States. National Park Service,[Washington],1941,http://www.archive.org/details/bibliographyofna00unitrich/mode/thumb?view=theater,bibliographyofna00unitrich,"National parks and reserves -- United States, Natural monuments","2.1,0.2,0.3",,,Interesting resource!,x,,
,A bibliography of Negro migration,"Ross, Frank Alexander, 1888-","New York, B. Franklin",1969,http://www.archive.org/details/bibliographyofne00rossrich/mode/thumb?view=theater,bibliographyofne00rossrich,"African Americans, African Americans -- Social conditions To 1964, African Americans -- Employment, African Americans",9.4,,,,,,
,"A book of pictures in Roland Park, Baltimore, Maryland",,"[Baltimore, N.T.A. Munder & co., printers]",1911,http://www.archive.org/details/bookofpicturesin00baltrich/mode/thumb?view=theater,bookofpicturesin00baltrich,"Roland Park, Md. -- Pictorial works","0.4,5.0",,,Roland park is an affluent suburb of Baltimore,,,
,A catalogue of selected 16mm. educational motion pictures,New York University. Film Library. [from old catalog,,1937,http://www.archive.org/details/lifelonglearning05richrich/mode/thumb?view=theater,lifelonglearning05richrich,"Motion pictures, Motion pictures in education","7.2,10.0,0.0",,,,,,
,A catalogue of selected 16mm. educational motion pictures,New York University. Film Library.,,[n.d.],http://www.archive.org/details/filmlibrarycatalo00anderich/mode/thumb?view=theater,filmlibrarycatalo00anderich,"Motion pictures, Motion pictures in education","7.2,10.0,0.4",,,,,,
,A charter for the social sciences in the schools,American historical association. Commission on the social studies in the schools,"New York, Chicago [etc.] C. Scribner's sons",c1932,http://www.archive.org/details/charterforsocial00amerrich/mode/thumb?view=theater,charterforsocial00amerrich,Social sciences -- Study and teaching. [from old catalog],10.0,,,,,,
,A chronological history of electrical development from 600 B.C.,National Electrical Manufacturers Association,"New York, N.Y., National Electrical Manufacturers Association",c1946,http://www.archive.org/details/chronologicalhis00natirich/mode/thumb?view=theater,chronologicalhis00natirich,"Electricity -- History, Electric engineering -- History",4.0,,,,,,
,A civic biology : presented in problems,"Hunter, George W. (George William), 1873-1948",New York : American Book Company,c1914,http://www.archive.org/details/civicbiologypres00huntrich/mode/thumb?view=theater,civicbiologypres00huntrich,"Biology, Sanitation","1.1,10.1",Bountiful,"Biology illustrations, photos",,,,
,A course on zoology: designed for secondary education,"Montmahou, C. de (Camille)","Philadelphia, J.B. Lippincott Company",1893,http://www.archive.org/details/courseonzoologyd00montrich/mode/thumb?view=theater,courseonzoologyd00montrich,Zoology,"1.1,1.2",Bountiful,Anatomy illustrations,,,,
,"A critical index of films and filmstrips in conservation, dealing with renewable resources, non-renewable resources, resources and people, and ecology",Conservation Foundation. Audio-Visual Center,"Flanders, N.J., O'Hare Books",1965,http://www.archive.org/details/acriticalindexof00consrich/mode/thumb?view=theater,acriticalindexof00consrich,"Conservation of natural resources -- United States Film catalogs, Renewable natural resources -- United States Film catalogs, Nonrenewable natural resources -- United States Film catalogs","1.1,2.1,7.2",,,,,,
,A day with Charles Dickens,"Byron, May Clarissa Gillington, d. 1936","London, Hodder & Stoughton",1910,http://www.archive.org/details/daywithcharlesdi00byrorich/mode/thumb?view=theater,daywithcharlesdi00byrorich,"Dickens, Charles, 1812-1870, Novelists, English -- 19th century","0.6,8.5",,,,,,
,A decade of civic development,"Zueblin, Charles, 1866-1924. [from old catalog]","Chicago, The University of Chicago press",1905,http://www.archive.org/details/decadeofcivicdev00zuebrich/mode/thumb?view=theater,decadeofcivicdev00zuebrich,"Cities and towns -- United States, Civic improvement -- United States",4.1,,,,,,
,A decade of radio advertising,"Hettinger, Herman Strecker, 1902-","Chicago, Ill., The University of Chicago Press",1933,http://www.archive.org/details/decadeofradioadv00hettrich/mode/thumb?view=theater,decadeofradioadv00hettrich,"Radio broadcasting, Advertising","7.3,6.2",,,,,,
,A Description of Estates on the Community Lands about the Mayfield Country Club,Warren H. Manning,"Warren H. Manning Offices, Inc.",1918,http://www.archive.org/details/descriptionofest00warrrich/mode/thumb?view=theater,descriptionofest00warrrich,,5.0,Light,Landscape sketches,,,,
,A fair world for all: the meaning of the Declaration of human rights,"Fisher, Dorothy Canfield, 1879-1958","New York, Whittlesey House",c1952,http://www.archive.org/details/fairworldforallm00fishrich/mode/thumb?view=theater,fairworldforallm00fishrich,"United Nations. General Assembly, Civil rights, Liberty",11.2,Bountiful,,,,,
,"A familiar history of birds (fourth edition, with additions)","Stanley, Edward, 1779-1849",London : J. W. Parker,1848,http://www.archive.org/details/familiarhistoryo00stanrich/mode/thumb?view=theater,familiarhistoryo00stanrich,Birds,1.2,Bountiful,Illustrations,,,,
,A forward look in police education,"Frost, Thomas M","Springfield, Ill., Thomas",1959,http://www.archive.org/details/forwardlookinpol00frosrich/mode/thumb?view=theater,forwardlookinpol00frosrich,Police,"10.2,10.1",,,,,,
,A Gallery of Literary Portraits,George Gilfillan,,,http://www.archive.org/details/galleryofliterar00georrich/mode/thumb?view=theater,galleryofliterar00georrich,,8.5,,,"portraits with words, no illustrations",,,
,"A general introduction to forestry in the United States, with special reference to recent forest conservation policies","Brown, Nelson Courtlandt, 1885-","New York, J. Wiley & sons, inc.; London, Chapman & Hall, limited",1935,http://www.archive.org/details/generalintroduct00browrich/mode/thumb?view=theater,generalintroduct00browrich,Forests and forestry -- United States,"2.2,2.1",Medium,Photos,,,,
,"A girl's problems in home economics; healthful clothing, dress design, clothing construction, interior decoration, household textiles, care of the home","Trilling, Mabel Barbara","Philadelphia, Chicago, London, J.B. Lippincott Company",c1926,http://www.archive.org/details/girlsproblemsinh00trilrich/mode/thumb?view=theater,girlsproblemsinh00trilrich,"Clothing and dress, Home economics","5.2,10.1",Bountiful,Instructional illustrations,,,,
,A good home for every wage-earner,"Nolen, John",n.p. n.p,1917,http://www.archive.org/details/goodhomeforevery00nolerich/mode/thumb?view=theater,goodhomeforevery00nolerich,"Labor and laboring classes -- Dwellings, Labor and laboring classes -- United States","5.6,4.3,11.4",,,,,,
,"A good life : dairy farming in the Olema Valley : a history of the dairy and beef ranches of the Olema Valley and Lagunitas Canyon, Golden Gate National Recreation Area and Point Reyes National Seashore, Marin County, California","Livingston, D. S","San Francisco : National Park Service, Dept. of the Interior",1995,http://www.archive.org/details/goodlifedairyfar00livirich/mode/thumb?view=theater,goodlifedairyfar00livirich,"Dairy farming -- California, Ranches -- California, Golden Gate National Recreation Area (Calif.), Point Reyes National Seashore (Calif.)","0.0,2.0",Bountiful,"Maps, illustrations, photos",,,,
,A guide to film services of national associations,Film Council of America.,"Evanston, Ill",1954,http://www.archive.org/details/aguidetofilmserv00filmrich/mode/thumb?view=theater,aguidetofilmserv00filmrich,"Documentary films, Motion pictures in education","7.2,10.0",,,,,,
,A guide to great cities for young travelers and others; northwestern Europe,"Singleton, Esther. [from old catalog]","New York, The Baker & Taylor company",1910,http://www.archive.org/details/guidetogreatciti00singrich/mode/thumb?view=theater,guidetogreatciti00singrich,"Cities and towns. [from old catalog], Europe -- Description and travel. [from old catalog]","0.6,4.3",Light,Photos,Travel guide,,,
,A guide to the study of the United States of America : representative books reflecting the development of American life and thought,Library of Congress. General Reference and Bibliography Division,"Washington : Library of Congress, General Reference and Bibliography Division, Reference Department",1960,http://www.archive.org/details/usaguidetostudy00librrich/mode/thumb?view=theater,usaguidetostudy00librrich,United States -- Bibliography,8.2,,,,,,
,A guide to the study of the United States of America : representative books reflecting the development of American life and thought : supplement 1956/1965,Library of Congress. General Reference and Bibliography Division,"Washington : The Division ; for sale by the Supt. of Docs., U. S. Govt. Print. Off.",1976,http://www.archive.org/details/guidetostudyofun00librrich/mode/thumb?view=theater,guidetostudyofun00librrich,United States -- Bibliography,"10.0,10.1",,,,,,
,A Guide to World History,Andrew Reid Cowan,,,http://www.archive.org/details/guidetoworldhist00andrrich/mode/thumb?view=theater,guidetoworldhist00andrrich,,0.6,,,,,,
,A hand-book of civil government under the Constitution of the United States,"Suplée, Thomas Danly, 1846- [from old catalog]","Philadelphia, Eldredge & brother",1883,http://www.archive.org/details/handbookofcivilg00suplrich/mode/thumb?view=theater,handbookofcivilg00suplrich,"United States -- Politics and government -- Examinations, questions, etc. [from old catalog]","4.1,10.1",,,,,,
,"A handbook of rocks, for use without the microscope","Kemp, James Furman, 1859-1926","New York, Printed for the Author",1896,http://www.archive.org/details/handbookofrocksmicrokemprich/mode/thumb?view=theater,handbookofrocksmicrokemprich,Petrology,2.3,,,Sadly free of illustrations,,,
,A history of our own times,"McCarthy, Justin, 1830-1912","New York, London : Harper & brothers",1905,http://www.archive.org/details/historyofourownt01mccarich/mode/thumb?view=theater,historyofourownt01mccarich,,0.6,,,,,,
,"A history of Tennessee from 1663 to 1914, for use in schools","McGee, Gentry Richard.",New York : American book company,c1911,http://www.archive.org/details/historyoftenness00mcgerich/mode/thumb?view=theater,historyoftenness00mcgerich,Tennessee -- History.,"0.5,10.1",Bountiful,"Illustrations, photos",,,,
,A history of the dwelling-house and its future,"Thompson, Robert Ellis, 1844-1924","Philadelphia, Lippincott",1914,http://www.archive.org/details/ahistoryofdwelli00thomrich/mode/thumb?view=theater,ahistoryofdwelli00thomrich,Dwellings,"0.6,5.3",,,,,,
,A history of the four Georges and of William IV,"McCarthy, Justin, 1830-1912",London : Chatto,1905,http://www.archive.org/details/historyoffourgeo00mccarich/mode/thumb?view=theater,historyoffourgeo00mccarich,"Great Britain -- History 1714-1837, Great Britain -- Politics and government",0.6,,,,,,
,A journey through Pennsylvania farmlands,"Theiss, Lewis Edwin, 1878-","Harrisburg, Pa., The Pennsylvania book service",1938,http://www.archive.org/details/journeythroughpe00theirich/mode/thumb?view=theater,journeythroughpe00theirich,Agriculture -- Juvenile literature.,"2.0,0.4",Light,Illustrations,,,,
,A key to New York,"Slocum, Rosalie","New York, Modern age books",c1939,http://www.archive.org/details/keytonewyork00slocrich/mode/thumb?view=theater,keytonewyork00slocrich,New York (N.Y.) -- Guidebooks,0.4,Bountiful,"maps, illustrations",,,,
,A life in song,"Raymond, George Lansing, 1839-1929","New York, London, G.P. Putnam's sons",c1916,http://www.archive.org/details/nsonglifei00raymrich/mode/thumb?view=theater,nsonglifei00raymrich,,"8.5,8.0",Light,Historated caps,Poetry,,x,
,A life of George Westinghouse,"Prout, Henry Goslee. [from old catalog]","New York, C. Scribner's sons",1922,http://www.archive.org/details/lifeofgeorgewest00prourich/mode/thumb?view=theater,lifeofgeorgewest00prourich,"Westinghouse, George, 1846-1914. [from old catalog]","3.2,4.0",,,Biography,,,
,A little land and a living,"Hall, Bolton, 1854-1938","New York, The Arcadia press",1908,http://www.archive.org/details/alittlelandand00hallrich/mode/thumb?view=theater,alittlelandand00hallrich,Agriculture -- Juvenile and popular literature,2.0,,,,,,
,A living from the land,"Duryee, William Budington, 1888-","New York London, Whittlesey house, McGraw-Hill book company, inc",c1934,http://www.archive.org/details/livingfromland00duryrich/mode/thumb?view=theater,livingfromland00duryrich,Agriculture,2.0,Light,handful of illustrations and old photos,,,,
,A loiterer in New York;,"Henderson, Helen Weston, 1874-","New York, George H. Doran company",c1917,http://www.archive.org/details/loitererinnewyor00hendrich/mode/thumb?view=theater,loitererinnewyor00hendrich,"Art -- New York (State) New York, Art, Municipal -- New York (State) New York, New York (N.Y.) -- Description and travel",0.4,Bountiful,,,,,
,A manual of home-making,"Van Rensselaer, Martha, comp","New York, The Macmillan company",1919,http://www.archive.org/details/manualofhomemaki00vanrrich/mode/thumb?view=theater,manualofhomemaki00vanrrich,"Sewing, Cookery, Food, Home economics, Interior decoration","5.0,5.2,5.4",,,,,,
,A manual of psychology,"Stout, George Frederick, 1860-","London, University correspondence college press; New York, Hinds & Noble",1899,http://www.archive.org/details/amanualofpsychol00stourich/mode/thumb?view=theater,amanualofpsychol00stourich,Psychology.,12.1,,,,,,
,A manual on the origin and development of Washington,"Caemmerer, H. Paul (Hans Paul), 1884-1962","Washington, U.S. Govt. Print. Off.",1939,http://www.archive.org/details/manualonoriginde00caemrich/mode/thumb?view=theater,manualonoriginde00caemrich,"Washington (D.C.) -- Description and travel, Washington (D.C.) -- History","0.4,10.2",Bountiful,"Photos, Illustrations",,,,
,A model tenement house law,"Veiller, Lawrence, 1872-1959","New York, Charities Publication Committee",1910,http://www.archive.org/details/modeltenementhou00veilrich/mode/thumb?view=theater,modeltenementhou00veilrich,"Tenement-houses -- United States, Building laws -- United States, Working class -- Dwellings","5.1,5.3",,,,,,
,"A modern city: Providence, Rhode Island and its activities","Kirk, William, 1880- ed","Chicago, The Univesity of Chicago press",1909,http://www.archive.org/details/moderncityprovid00kirkrich/mode/thumb?view=theater,moderncityprovid00kirkrich,Providence (R.I.),"0.4,4.2",,,,,,
,A national plan for American forestry. Letter from the Secretary of Agriculture transmitting in response to S. Res. 175 (Seventy-second Congress) the report of the Forest Service of the Agricultural Department on the forest problem of the United States,United States. Forest Service,"Washington, U.S. Govt. Print. Off.",1933,http://www.archive.org/details/nationalplanfora01unitrich/mode/thumb?view=theater,nationalplanfora01unitrich,"Forests and forestry -- United States, Forest policy -- United States",2.2,,,,,,
,A Pasture handbook,"Semple, Arthur T. (Arthur Truman), 1895-","Washington, D.C. : U.S. Dept. of Agriculture",1934,http://www.archive.org/details/pasturehandbook00semprich/mode/thumb?view=theater,pasturehandbook00semprich,Pastures,2.0,Light,Photos,,,,
,A place in the country : the story of a great adventure,"Farnham, Dwight Thompson, b. 1881",New York : Funk & Wagnalls,1936,http://www.archive.org/details/placeincountryst00farnrich/mode/thumb?view=theater,placeincountryst00farnrich,Country life,2.7,,,,,,
,"A power primer : an introduction to the internal combustion engine, automobile, aircraft, diesel",General Motors Corporation,"Detroit, Mich., General Motors",1955,http://www.archive.org/details/powerprimeranint00generich/mode/thumb?view=theater,powerprimeranint00generich,Internal combustion engines,"2.5,3.0,3.1",Bountiful,Illustrations,,,,
,A practical course in horology,"Kelly, Harold Caleb","Peoria, Ill., The Manual arts press",1944,http://www.archive.org/details/practicalcoursei00kellrich/mode/thumb?view=theater,practicalcoursei00kellrich,Clocks and watches,2.5,Bountiful,Technical illustrations,,,,
,A practical treatise on disorders of the sexual function in the male and female,"Huhner, Max, 1873-",Philadelphia : F. A. Davis company,1921,http://www.archive.org/details/practicaltreatis00huhnrich/mode/thumb?view=theater,practicaltreatis00huhnrich,"Genitourinary organs -- Diseases, Sexual deviation","12.3,12.1",,,,,,
,A preliminary report of progress,Iowa. State Planning Board,"[Detroit, Lithographed by the Copifyer corporation]",1934,http://www.archive.org/details/preliminaryrepor00iowarich/mode/thumb?view=theater,preliminaryrepor00iowarich,Regional planning,"0.3,4.2,4.1",Bountiful,great for anyone looking for different maps of Iowa,,,,
,A primary history of the United States,"McMaster, John Bach, 1852-1932","New York, Cincinnati [etc.] American book company",1901,http://www.archive.org/details/primaryhistoryof00mcmarich/mode/thumb?view=theater,primaryhistoryof00mcmarich,United States -- History,"10.0,10.1",Bountiful,Illustrations,,,,
,A primer of forestry,"Pinchot, Gifford, 1865-1946",Washington : G.P.O.,1905,http://www.archive.org/details/1primerofforestry00pincrich/mode/thumb?view=theater,1primerofforestry00pincrich,"Forests and forestry, Trees",2.2,Bountiful,Photos,,,,
,A reference guide to the study of public opinion,"Childs, Harwood Lawrence, 1898-","Princeton, N.J., Princeton University Press",1934,http://www.archive.org/details/referenceguideto00chilrich/mode/thumb?view=theater,referenceguideto00chilrich,"Public opinion, Publicity, Propaganda, Public opinion","10.0,10.1",,,,,,
,A region's press: anatomy of newspapers in the San Francisco Bay Area,"Rivers, William L","Berkeley, Institute of Governmental Studies, University of California",1971,http://www.archive.org/details/regionspressanat00riverich/mode/thumb?view=theater,regionspressanat00riverich,American newspapers -- California San Francisco Bay Area,"0.0,6.2",,,,,,
,A report on national planning and public works in relation to natural resources and including land use and water resources with findings and recommendations,United States. National resources board. [from old catalog],"Washington, U. S. Govt. print. off.",1934,http://www.archive.org/details/reportonnational1934unitrich/mode/thumb?view=theater,reportonnational1934unitrich,"Regional planning, Public works",2.1,,,,,,
,A Report to educators on teaching films survey,"Harcourt, Brace & World publication, New York","New York, Harper",1948,http://www.archive.org/details/teachingfilms00harcrich/mode/thumb?view=theater,teachingfilms00harcrich,Motion pictures in education,"7.1,10.0",,,,,,
,A saw screams at midnight; the whodunit-yourself book,"Mills, George A. [from old catalog]","New York, Dutton",1956,http://www.archive.org/details/sawscreamsatmidn00millrich/mode/thumb?view=theater,sawscreamsatmidn00millrich,American wit and humor,"8.4,5.2",Bountiful,many illustrations and old photos of silly potential home projects,,,,
,A seasonal industry; a study of the millinery trade in New York,"Van Kleeck, Mary.","New York, Russell Sage foundation",1917,http://www.archive.org/details/seasonalindustry00vankrich/mode/thumb?view=theater,seasonalindustry00vankrich,"Wages -- Millinery workers New York (State) New York, Women -- Employment New York (State) New York","0.4,2.6,11.4,9.2",,,,,,
,A self-supporting home,"Saint Maur, Kate V. (Kate Vandenhoff), b. 1866","New York, London, The Macmillan company",1905,http://www.archive.org/details/selfsupportingho00sainrich/mode/thumb?view=theater,selfsupportingho00sainrich,Agriculture,2.0,,,,,,
,A short history of Germany,"Henderson, Ernest F. (Ernest Flagg), 1861-1928","New York, The Macmillan Company; London, Macmillan & Co., Ltd.",1902,http://www.archive.org/details/shorthistoryofge00hendrich/mode/thumb?view=theater,shorthistoryofge00hendrich,"Germany -- History, genealogy",0.6,Light,a few historical maps,,,,
,A South Dakota guide,South Dakota Federal Writers Project,"[Pierre, S.D., State publishing company]",1938,http://www.archive.org/details/southdakotguide00soutrich/mode/thumb?view=theater,southdakotguide00soutrich,"South Dakota, South Dakota -- Guidebooks",0.3,Bountiful,many b&w illustrations and photos of the state,,,,
,"A stake in the land, by Peter A. Speek","Speek, Peter Alexander, 1873-","New York and London, Harper",1921,http://www.archive.org/details/stakeinlandbypet00speerich/mode/thumb?view=theater,stakeinlandbypet00speerich,"Land tenure -- United States, Agricultural colonies -- United States, Immigrants -- United States, Rural schools -- United States, Americanization","2.0,2.7",,,,,,
,A Study of Cider Making,William B. Alwood,,,http://www.archive.org/details/studyofcidermaki00willrich/mode/thumb?view=theater,studyofcidermaki00willrich,,8.1,Medium,b&w photos and illustrations showing the cider process,,,,
,"A study of response to the Houston, Texas, fireworks explosion","Killian, Lewis M","Washington, National Academy of Science-National Research Council",1956,http://www.archive.org/details/studyofresponset00killrich/mode/thumb?view=theater,studyofresponset00killrich,"Houston (Tex.) -- Explosion, 1953","0.5,11.1",,,,,,
,A system of psychology,"Dunlap, Knight, 1875-1949","New York, C. Scribner's Sons",1912,http://www.archive.org/details/systemofpsycholo00dunlrich/mode/thumb?view=theater,systemofpsycholo00dunlrich,Psychology,12.1,,,,,,
,A Travers Les Regions de France,G. Renard,,,http://www.archive.org/details/traverslesregion00grenrich/mode/thumb?view=theater,traverslesregion00grenrich,,0.6,,,,,,
,A trip to the San Francisco exposition (the Golden Gate International Exposition) with Bobby and Betty,"Jackson, Joseph Henry, 1894-1955","New York, R. M. McBride & company",c1939,http://www.archive.org/details/triptosanfrancis00jackrich/mode/thumb?view=theater,triptosanfrancis00jackrich,"Golden Gate International Exposition (1939-1940 : San Francisco, Calif.)","0.0,8.2",Bountiful,Photos and illustrations of SF exposition,,,,
,A visual history of the United States,"Faulkner, Harold Underwood, 1890-","New York, H. Schuman",c1953,http://www.archive.org/details/visualhistoryofu00faulrich/mode/thumb?view=theater,visualhistoryofu00faulrich,United States -- History Pictorial works,10.1,Bountiful,many illustrations as expected,,,,
,About the farm;,"Whipple, J. R., company, Boston, [from old catalog]","Boston, Mass, Printed for J. R. Whipple company",c1910,http://www.archive.org/details/aboutfarm00whiprich/mode/thumb?view=theater,aboutfarm00whiprich,"Valley View farm, New Boston, N.H. [from old catalog]","0.4,2.0",Bountiful,many b&w photos that have been recolored,,,,
,Acquiring a home,"Blake, Clinton H. (Clinton Hamlin), 1883-1947","Garden City, N.Y., Doubleday, Page & Co.",1925,http://www.archive.org/details/acquiringhome00blakrich/mode/thumb?view=theater,acquiringhome00blakrich,"Dwellings, Building, Deeds, Buildings",5.6,,,,,,
,Activities handbook,United States. Agricultural Research Service. Animal Disease Eradication Division. [from old catalog],"Washington, Agricultural Research Service, U. S. Dept. of Agriculture",1961,http://www.archive.org/details/activitieshandanidiseradrich/mode/thumb?view=theater,activitieshandanidiseradrich,Veterinary medicine,2.0,,,,,,
,Adjusting immigrant and industry,"Leiserson, William Morris, 1883-","New York and London, Harper & brothers",1924,http://www.archive.org/details/adjustingimmigra00leisrich/mode/thumb?view=theater,adjustingimmigra00leisrich,"Labor and laboring classes -- United States., Americanization., United States -- Foreign population.",11.4,,,,,,
,Adolescence and youth;,"Landis, Paul Henry, 1901- [from old catalog]","New York and London, McGraw-Hill book company, inc.",1945,http://www.archive.org/details/adolescenceandyo00landrich/mode/thumb?view=theater,adolescenceandyo00landrich,"Adolescence. [from old catalog], Youth. [from old catalog], Personality. [from old catalog]",10.4,,,,,,
,Adult education councils,"Kotinsky, Ruth, 1903-","New York, American Association for Adult Education",1940,http://www.archive.org/details/adulteducationco00kotirich/mode/thumb?view=theater,adulteducationco00kotirich,Adult education,10.0,,,,,,
,Advanced biology,"Wheat, Frank Merrill","New York, Boston [etc.] American Book Company",c1929,http://www.archive.org/details/advancedbiology00whearich/mode/thumb?view=theater,advancedbiology00whearich,"Biology, Physiology, Reproduction","12.4,10.1",Bountiful,Illustrations,,,,
,Advanced Ear-Training and Sight-Singing,George A. Wedge,,1922,http://www.archive.org/details/advancedeartrain00georrich/mode/thumb?view=theater,advancedeartrain00georrich,,8.0,,,,,,
,Advanced lessons in lip-reading,"Nitchie, Elizabeth Helm, Mrs","New York, Frederick A. Stokes company",1923,http://www.archive.org/details/advancedlessonsi00nitcrich/mode/thumb?view=theater,advancedlessonsi00nitcrich,Deaf,"10.1,8.5",,,,,,
,Adventures in home-making,"Shackleton, Robert, 1860-1923","New York, John Lane company",1910,http://www.archive.org/details/adventuresinhome00shacrich/mode/thumb?view=theater,adventuresinhome00shacrich,"Architecture, Domestic, Interior decoration",5.4,Medium,Photos,,,,
,Adventures in living ..,"Wood, Thomas Denison, 1865- [from old catalog]","New York, T. Nelson and sons",1938,http://www.archive.org/details/adventuresinlivi00woodrich/mode/thumb?view=theater,adventuresinlivi00woodrich,"Hygiene -- Juvenile literature. [from old catalog], Home economics","10.4,12.3",Bountiful,"Illustrations, photos",,,,
,"Adventures in scenery, a popular reader of California geology","Willard, Daniel E. (Daniel Everett), b. 1862","Lancaster, Pa., The Jaques Cattell press",1942,http://www.archive.org/details/adventuresinscen00willrich/mode/thumb?view=theater,adventuresinscen00willrich,Geology -- California,"0.1,1.1",,,,,,
,Adventures in science with Bob and Don,"Carpenter, Harry Allen, 1878-1942.","Boston, Allyn and Bacon",1948,http://www.archive.org/details/adventuresinscie00carprich/mode/thumb?view=theater,adventuresinscie00carprich,Readers and speakers -- Science.,"12.4,10.1",Bountiful,Full-color Illustrations,,,,
,Adventures in steel,"Davis, Lavinia R. (Lavinia Riker), 1909-1961","New York : Modern Age Books, Inc.",c1938,http://www.archive.org/details/adventuresinstee00davirich/mode/thumb?view=theater,adventuresinstee00davirich,"Building, Iron and steel, Steel, Hazardous occupations","2.6,11.4",,,,,,
,Adventures of a slum fighter,"Palmer, Charles F. (Charles Forrest), 1892-1973","Atlanta, Tupper and Love",c1955,http://www.archive.org/details/adventuresofslum00palmrich/mode/thumb?view=theater,adventuresofslum00palmrich,"Slums, Housing","4.2,5.1",,,,,,
,Advertise!,"Sampson, E. (Edith)","Boston, New York [etc.] D. C. Heath & co",c1918,http://www.archive.org/details/advertise00samprich/mode/thumb?view=theater,advertise00samprich,Advertising,6.2,,,,,,
